問題番号,問題文,難易度,カテゴリ,正解,解説,法令参照
81,หากจักรยานติดตั้งอุปกรณ์สะท้อนแสงที่ตรงตามมาตรฐานของมาตรา 9-4 ของข้อบังคับการบังคับใช้ ไฟท้ายอาจถูกละเว้นขึ้นอยู่กับข้อบัญญัติ,ซูพีเรียร์,กฎพื้นฐาน,〇,บทความนี้กําหนดมาตรฐานเฉพาะสําหรับประสิทธิภาพการเบรก และการแซงรถที่ไม่เป็นไปตามมาตรฐานเหล่านี้อาจเป็นการละเมิดกฎหมาย ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 63-9 วรรค 2 ของพระราชบัญญัติจราจรทางบกและมาตรา 9-4 ของระเบียบการบังคับใช้พระราชบัญญัติจราจรทางบกระบุว่าจักรยานอาจติดตั้งอุปกรณ์สะท้อนแสงที่ตรงตามมาตรฐานบางประการแทนไฟท้าย
82,อุปกรณ์สะท้อนแสงที่กําหนดโดยมาตรา 9-4 ของข้อบังคับการบังคับใช้นั้น 'ติดตั้งบนจักรยาน' และวัสดุสะท้อนแสง เช่น เสื้อผ้าของผู้โดยสารเพียงอย่างเดียวไม่ถือว่าใช้ทดแทนได้,ซูพีเรียร์,การกระทําที่เป็นอันตราย,〇,บทบัญญัตินี้ถือว่าจักรยานติดอยู่กับจักรยาน และในทางปฏิบัติ จะต้องติดกับตัวจักรยานด้วย ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 9-4 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบกระบุว่าอุปกรณ์สะท้อนแสงขึ้นอยู่กับสมมติฐานที่ว่ามีการติดตั้งแผ่นสะท้อนแสงบนจักรยาน และไม่สามารถทดแทนวัสดุสะท้อนแสงที่พบบนร่างกายหรือเสื้อผ้าเท่านั้น
83,มาตรา 5-6 ของข้อบังคับการบังคับใช้กําหนดขีดจํากัดสูงสุดเกี่ยวกับขนาด (ความยาว ความกว้าง ความสูง) ของจักรยานที่อนุญาตในเลนจักรยาน และห้ามมิให้ยานพาหนะที่เกินขีดจํากัดนี้ใช้เลนจักรยาน,ซูพีเรียร์,กฎพื้นฐาน,〇,บทความนี้กําหนดมาตรฐานสําหรับขนาดจักรยานเพื่อความปลอดภัยของเลนจักรยาน ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 5-6 ของระเบียบการบังคับใช้พระราชบัญญัติจราจรทางบกกําหนดมาตรฐานสําหรับขนาด (ความยาว ความกว้าง ความสูง) ของจักรยานที่อนุญาตบนเลนจักรยาน
84,จักรยานสี่ล้อกว้างที่เกินขนาดสําหรับทางเดินเลนจักรยานไม่สามารถใช้กับเลนจักรยานได้,ซูพีเรียร์,กฎพื้นฐาน,〇,ยานพาหนะที่เกินมาตรฐานมิติที่ระบุไว้ในมาตรา 5-6 จะไม่รวมอยู่ในการจราจรในเลนจักรยาน ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 5-6 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบก: ยานพาหนะที่ได้รับอนุญาตให้ใช้เลนจักรยานจํากัดเฉพาะจักรยานธรรมดาและยานพาหนะที่คล้ายคลึงกันภายในขนาดที่กําหนด
85,ใครก็ตามที่ผลักจักรยานข้ามทางม้าลายถือเป็นคนเดินเท้า ดังนั้นยานพาหนะจึงต้องหยุดรถตามมาตรา 38 ของพระราชบัญญัติจราจรทางบก,ซูพีเรียร์,กฎพื้นฐาน,〇,การผลักถือเป็นคนเดินเท้า ดังนั้นคนเดินเท้าจึงได้รับการคุ้มครองเช่นเดียวกับผู้ที่ข้ามทางม้าลาย ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,พระราชบัญญัติจราจรทางบก มาตรา 38 มาตรา 2 วรรค 3: เมื่อผ่านทางม้าลายในฐานะคนเดินเท้า
86,การใช้จักรยานอย่างปลอดภัยและการรักษาความปลอดภัยที่จอดรถจักรยานไม่เพียง แต่กําหนดโดยพระราชบัญญัติจราจรทางบกเท่านั้น แต่ยังกําหนดโดยพระราชบัญญัติจักรยานที่เรียกว่า (พระราชบัญญัติว่าด้วยมาตรการที่จอดรถจักรยาน ฯลฯ),ซูพีเรียร์,กฎพื้นฐาน,〇,พระราชบัญญัติจักรยานทําหน้าที่เป็นกฎหมายพื้นฐานในการส่งเสริมการใช้จักรยานอย่างปลอดภัยและมาตรการในการจอดจักรยานอย่างครอบคลุม ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 1 ของพระราชบัญญัติว่าด้วยการส่งเสริมการใช้จักรยานอย่างปลอดภัยและการส่งเสริมมาตรการจอดจักรยานอย่างครอบคลุม ฯลฯ และอื่น ๆ : กฎหมายที่มุ่งส่งเสริมการใช้จักรยานอย่างปลอดภัยและมาตรการจอดจักรยานอย่างครอบคลุม (หรือที่เรียกกันทั่วไปว่าพระราชบัญญัติจักรยาน)
87,มาตรา 9-5 ของข้อบังคับการบังคับใช้ห้ามมิให้ผู้ขับขี่ยานพาหนะ รวมถึงจักรยาน ขับรถขณะฟังเพลงในลักษณะที่บดบังเสียงรอบข้างที่จําเป็นสําหรับการขับขี่อย่างปลอดภัย,ซูพีเรียร์,การกระทําที่เป็นอันตราย,〇,หัวข้อนี้ห้ามมิให้ขับรถเมื่อไม่ได้ยินเสียงที่จําเป็นเนื่องจากการใช้เครื่องเล่นเพลงแบบพกพาหรืออุปกรณ์ที่คล้ายคลึงกัน ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 9-5 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบก: ห้ามขับรถเมื่อใช้เครื่องเล่นเพลงแบบพกพาหรืออุปกรณ์ที่คล้ายคลึงกันโดยไม่ได้ยินเสียงการจราจรโดยรอบที่จําเป็นสําหรับการขับขี่อย่างปลอดภัย
88,อุปกรณ์สะท้อนแสงและไฟท้ายเป็นสิ่งจําเป็นสําหรับการจราจรในเวลากลางคืนเป็นหลัก แต่เนื่องจากเงื่อนไขต่างๆ เช่น อุโมงค์ จึงไม่สามารถพูดได้ว่าอุปกรณ์ทั้งหมดไม่จําเป็นเพียงเพราะเป็นช่วงกลางวัน,ซูพีเรียร์,กฎพื้นฐาน,〇,นอกเวลากลางคืน อาจต้องใช้แสงสว่างระหว่างการเดินอุโมงค์ ดังนั้นจึงแนะนําให้เปิดไว้ตลอดเวลาเพื่อความปลอดภัย ระเบียบบังคับพระราชบัญญัติจราจรทางบก,พระราชบัญญัติจราจรทางบกมาตรา 52 และ 63-9 วรรค 2: ภาระผูกพันในการใช้อุปกรณ์สะท้อนแสงและไฟท้ายนั้นเกี่ยวข้องกับเวลากลางคืน แต่ด้วยเหตุผลด้านความปลอดภัย ขอแนะนําให้สวมใส่ในระหว่างวัน
89,จักรยานต้องไม่ข้ามไม่ว่าจะมีเลนทางม้าลายหรือไม่ก็ตาม โดยมีความเสี่ยงที่จะรบกวนการจราจรปกติสําหรับคนเดินเท้าหรือยานพาหนะอื่นๆ,ซูพีเรียร์,การกระทําที่เป็นอันตราย,〇,ตามมาตรา 25-2 และ 63-7 ของพระราชบัญญัติจราจรทางบกห้ามข้ามที่กีดขวางความปลอดภัยของการจราจรอื่น ๆ ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,พระราชบัญญัติจราจรทางบกมาตรา 63-7 และมาตรา 25-2: ห้ามใช้วิธีการข้ามจักรยานที่ทางม้าลายและทางม้าลายจักรยาน ตลอดจนสิ่งกีดขวางการจราจรอื่นๆ
90,การจ้องมองหน้าจอสมาร์ทโฟนอย่างต่อเนื่องขณะขี่จักรยานถือเป็นการละเมิดหน้าที่ในการขับขี่อย่างปลอดภัย (มาตรา 70 แห่งพระราชบัญญัติจราจรทางบก),ซูพีเรียร์,การกระทําที่เป็นอันตราย,〇,พฤติกรรมนี้ถือเป็นความล้มเหลวในการสังเกตการจ้องมองไปข้างหน้าที่จําเป็น และถูกมองว่าเป็นปัญหาจากการบังคับใช้กฎหมายในภูมิภาคต่างๆ ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 70 แห่งพระราชบัญญัติจราจรทางบก: การละเมิดหน้าที่ในการขับขี่อย่างปลอดภัย เช่น การใช้งาน Smart Phong โดยให้ความสนใจอย่างใกล้ชิดเป็นปัญหา
91,จักรยานจะต้องติดตั้งกระดิ่ง (ฟูโอนิน) (กระดิ่ง) บนจักรยาน ตามระเบียบการบังคับใช้พระราชบัญญัติจราจรทางบก,ซูพีเรียร์,กฎพื้นฐาน,〇,มาตรา 9-1 ของข้อบังคับการบังคับใช้โดยทั่วไปกําหนดภาระผูกพันในการติดตั้งลําโพงที่คล้ายกับรถยนต์ ระเบียบการบังคับใช้พระราชบัญญัติจราจรทางบก 7A-เดือน,มาตรา 9-1 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบกกําหนดให้จักรยานต้องติดตั้งกระดิ่ง
92,การกดกริ่งจักรยานตามอําเภอใจเพื่อเบี่ยงเบนความสนใจของคนเดินถนนไม่ได้รับการยอมรับว่าเป็นการใช้ลําโพงที่เหมาะสมภายใต้พระราชบัญญัติจราจรทางบก,ซูพีเรียร์,การกระทําที่เป็นอันตราย,〇,มาตรา 54 จํากัดการใช้เครื่องดนตรีในสถานการณ์ที่จําเป็น และการละเมิดเพื่อจุดประสงค์ในการกําจัดคนเดินเท้าถือว่าไม่พึงปรารถนา ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 54 ของพระราชบัญญัติจราจรทางบก: ควรใช้ระฆังธรรมดาเมื่อจําเป็นเท่านั้น และห้ามใช้ในทางที่ผิดเพื่อจุดประสงค์ในการกําจัดคนเดินเท้า
93,ปัจจุบันการสวมหมวกกันน็อคเป็นสิ่งจําเป็นสําหรับนักปั่นจักรยานทุกคน,ซูพีเรียร์,กฎพื้นฐาน,〇,พระราชบัญญัติจราจรทางบกฉบับแก้ไขได้แนะนําข้อบังคับการสวมหมวกนิรภัยสําหรับทุกเพศทุกวัย ระเบียบการบังคับใช้พระราชบัญญัติจราจรทางบก,มาตรา 63-11 (การแก้ไขเพิ่มเติม) ของพระราชบัญญัติจราจรทางบกแนะนําภาระผูกพันในการสวมหมวกนิรภัยและความพยายามสําหรับนักปั่นจักรยานทุกคน
94,ข้อห้ามในการขับรถภายใต้อิทธิพลหรืออิทธิพลของแอลกอฮอล์ยังใช้กับการขี่จักรยาน,ซูพีเรียร์,บทลงโทษ • ความรับผิดชอบ,〇,"มาตรา 65 ของพระราชบัญญัติจราจรทางบกกําหนดว่า ""ห้ามมิให้บุคคลใดขับขี่ยานพาหนะหรือยานพาหนะอื่นในขณะที่อยู่ภายใต้อิทธิพลของแอลกอฮอล์"" และจักรยานก็รวมอยู่ด้วย ระเบียบบังคับพระราชบัญญัติจราจรทางบก",มาตรา 65 ของพระราชบัญญัติจราจรทางบก: ข้อห้ามในการขับรถภายใต้อิทธิพลของแอลกอฮอล์และความมึนเมาก็ใช้กับจักรยานด้วย
95,หากคุณขับรถบนถนนที่ไม่มีระบบเบรก เช่น ทางสกีแบบไม่มีเบรก คุณอาจถูกลงโทษในฐานะยานพาหนะที่ได้รับการบํารุงรักษาไม่ดี,ซูพีเรียร์,บทลงโทษและความรับผิดชอบ,〇,ยานพาหนะที่ไม่เป็นไปตามข้อกําหนดของมาตรา 63-9 จะถูกบังคับใช้เนื่องจากเป็นการละเมิดกฎหมายจราจรทางบก ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,พระราชบัญญัติจราจรทางบกมาตรา 63-9 และ 120: การขี่จักรยานโดยไม่มีระบบเบรกถือเป็นการละเมิดและอาจถูกลงโทษด้วย
96,จักรยานยังต้องขี่ด้วยความเร็วที่ปลอดภัยตามสภาพถนนและการจราจร,ซูพีเรียร์,การกระทําที่เป็นอันตราย,〇,ตามมาตรา 22 และ 70 ของพระราชบัญญัติจราจรทางบก จักรยานจะต้องปรับความเร็วให้เหมาะสมตามสถานการณ์ ระเบียบการบังคับใช้พระราชบัญญัติจราจรทางบก,"มาตรา 22 และ 70 ของพระราชบัญญัติจราจรทางบกกําหนดให้จักรยานไม่เพียงแต่จํากัดความเร็วสูงสุด แต่ยังต้องขี่ด้วย ""ความเร็วที่ปลอดภัยที่เหมาะสมกับสถานการณ์"""
,,,,,,
