カテゴリ,難易度,問題文,選択肢１,選択肢２,選択肢３,選択肢４,正解番号,解説,関連交通ルール
Hành vi nguy hiểm,Trình độ sơ cấp,"Trên đường được phép đi song song bằng xe đạp theo biển báo, tối đa được đi song song bao nhiêu xe?",Tối đa 2 xe.,Không có giới hạn.,Tối đa 3 xe.,Chỉ được đi song song 1 xe.,1,"Under Article 63-5, even where road signs permit riding side by side, ordinary bicycles may do so only with up to two bicycles.",Luật Giao thông Đường bộ – Điều 63-5: Trường hợp ngoại lệ cho phép xe đạp thông thường đi song song
Dừng xe và đỗ xe,Trình độ nâng cao,Phát biểu nào đúng về việc dừng và đỗ xe đạp?,Nếu là xe đạp thì có thể đỗ tự do gần vạch qua đường.,"Xe đạp (là xe thô sơ) cũng có thể bị xử lý về lỗi dừng, đỗ xe hoặc bỏ xe trái phép.",Trên vỉa hè luôn được phép đỗ xe tự do.,Xe đạp không có khái niệm vi phạm dừng hoặc đỗ xe.,2,"The National Police Agency's list of traffic violations also includes parking and unattended parking violations for light vehicles, including bicycles.",Cổng thông tin xe đạp của NPA – Danh mục vi phạm: Đỗ xe trái phép và dừng/đỗ xe trái quy định
Hành vi nguy hiểm,Trình độ nâng cao,"Khi nhiều người cùng đi xe đạp, nguyên tắc nào phù hợp với Luật Giao thông đường bộ?",Nếu đi theo nhóm thì không phải tuân thủ quy định giao thông.,Dù không có biển báo vẫn được đi song song với số lượng tùy ý.,Về nguyên tắc cấm đi song song; dù có biển báo cho phép thì cũng chỉ được tối đa 2 xe.,Chỉ ô tô mới bị cấm đi song song.,3,"Riding bicycles side by side is generally prohibited. Even where specially permitted by road signs, no more than two bicycles may ride abreast.",Luật Giao thông Đường bộ – Điều 19 và Điều 63-5
Quy tắc cơ bản,Trình độ nâng cao,"Khi băng qua đường tại nơi có làn đường dành cho xe đạp, xe đạp phải đi như thế nào?",Nếu gần nơi có làn sang đường dành cho xe đạp thì phải băng qua đường bằng làn đó.,Phải đi xe đạp qua vạch dành cho người đi bộ mà không được xuống dắt xe.,Dù có làn băng qua đường dành cho xe đạp vẫn có thể băng qua ở bất kỳ vị trí nào.,Khi sang đường bắt buộc phải xuống xe và dắt bộ.,1,"Under Article 63-6 of the Road Traffic Act, when a bicycle crosses a road near a bicycle crossing, it must use that bicycle crossing.",5 quy tắc sử dụng xe đạp an toàn (NPA) – Điều 63-6 của Luật Giao thông Đường bộ
Lái xe đạp khi cầm ô,Trình độ nâng cao,Việc vừa đi xe đạp vừa che ô được xử lý như thế nào là phù hợp nhất?,Trên toàn quốc đều luôn hợp pháp theo quy định.,"Ở nhiều địa phương có thể bị coi là vi phạm quy định của Ủy ban An toàn Công cộng, vì vậy về nguyên tắc nên tránh.",Lái xe bằng một tay không liên quan đến nghĩa vụ lái xe an toàn.,Ngày mưa thì tự động được coi là hợp pháp.,2,"Riding while holding an umbrella may violate prefectural Public Safety Commission regulations in many areas and may also be considered a violation of the duty to drive safely. Because the rules vary by region, it is safest to regard it as something that should generally be avoided.",Cổng thông tin xe đạp của NPA – Quy định của Ủy ban An toàn Công cộng các tỉnh/thành và Điều 70 của Luật Giao thông Đường bộ: Lái xe đạp che ô
Hành vi nguy hiểm,Trình độ nâng cao,"Theo Điều 26-2 của Luật Giao thông đường bộ, quy định nào đúng về việc chuyển làn của xe đạp?",Nếu không ảnh hưởng đến tốc độ hoặc hướng đi của xe phía sau thì được phép chuyển làn đột ngột.,Quy định về chuyển hướng không áp dụng cho xe đạp.,Nếu việc chuyển làn có thể khiến xe phía sau phải đổi hướng hoặc giảm tốc đột ngột thì không được chuyển làn.,Có thể chuyển làn bất cứ lúc nào.,3,"Under Article 26-2 of the Road Traffic Act, vehicles may not change lanes recklessly. A lane change is prohibited if it would force vehicles behind to make sudden speed or direction changes, and this rule also applies to bicycles.",5 quy tắc sử dụng xe đạp an toàn (NPA) – Điều 26-2 của Luật Giao thông Đường bộ
Quy tắc cơ bản,Trình độ nâng cao,"Trên đường có làn xe cơ giới, xe đạp nên đi ở vị trí nào là phù hợp nhất?",Phải đi ở làn xe ngoài cùng bên phải.,"Không phân biệt làn xe, có thể chọn bất kỳ làn nào còn trống.",Đi ở làn xe ngoài cùng bên trái và đi sát bên trái của làn đó.,Có thể tự do đi qua lại giữa vỉa hè và lòng đường.,3,"Even where there are marked traffic lanes, bicycles must generally use the leftmost lane and ride on the left side of that lane.",Luật Giao thông Đường bộ – Điều 20
Xe gắn máy điện hạng nhỏ (Tokutei Kogata Gentsuki),Trình độ nâng cao,Phát biểu nào đúng về xe gắn máy điện cỡ nhỏ đặc định (特定小型原動機付自転車)?,Cần có biển số và tham gia bảo hiểm trách nhiệm dân sự bắt buộc.,Chỉ được chạy trên vỉa hè và không cần mua bảo hiểm.,Giống như xe đạp nên không cần biển số,"Dưới 16 tuổi, nếu có biển số thì vẫn được phép lái.",1,A specified small motorized bicycle is not a bicycle but a type of moped. It requires a license plate and compulsory liability insurance.,Cổng thông tin xe đạp của NPA – Quy tắc giao thông đối với xe gắn máy điện hạng nhỏ: Biển số xe và các yêu cầu liên quan
Quy tắc cơ bản,Trình độ nâng cao,"Theo tinh thần Điều 53 của Luật Giao thông đường bộ, khi chuyển hướng hoặc rẽ trái/phải bằng xe đạp cần ra tín hiệu như thế nào?",Nếu việc chuyển hướng có thể ảnh hưởng đến giao thông xung quanh thì phải ra tín hiệu trước và chuyển hướng/rẽ khi đã có đủ khoảng cách an toàn.,Không được ra tín hiệu khi đi trên vỉa hè.,Xe đạp không có nghĩa vụ ra tín hiệu.,Chỉ cần tăng tốc rồi rẽ nhanh thì không cần ra tín hiệu.,1,Signaling is an important means of communication to prevent danger when changing lanes or turning.,Luật Giao thông Đường bộ – Điều 53
Lái xe sau khi uống rượu,Trình độ nâng cao,"Theo tài liệu hướng dẫn, tiêu chuẩn xác định nồng độ cồn (酒気帯び) là gì?","Nồng độ cồn trong hơi thở 0,05 mg/L hoặc trong máu 0,1 mg/ml.","Nồng độ cồn trong hơi thở 0,15 mg/L hoặc trong máu 0,3 mg/ml.","Nồng độ cồn trong hơi thở 0,3 mg/L hoặc trong máu 0,15 mg/ml.",Không có tiêu chuẩn số liệu cụ thể.,2,The materials state that the legal threshold for driving under the influence is a breath alcohol concentration of 0.15 mg/L or a blood alcohol concentration of 0.3 mg/mL.,Cổng thông tin xe đạp của NPA – Sổ tay quy tắc xe đạp: Tiêu chuẩn nồng độ cồn
Hành vi nguy hiểm,Trình độ nâng cao,"Khi chở trẻ nhỏ trên xe đạp, cách xử lý nào phù hợp nhất với Luật Giao thông đường bộ và các tiêu chuẩn liên quan?","Theo pháp luật, không có giới hạn đối với việc chở trẻ nhỏ.",Cho trẻ đứng trên giá chở hàng nếu đi quãng ngắn thì không sao.,Người lớn bế trẻ thì có thể chở trên bất kỳ loại xe đạp nào.,Có thể chở trẻ em nếu xe có ghế dành cho trẻ em và đáp ứng các tiêu chuẩn quy định.,4,The use of approved child-carrying bicycles and child seats that meet the required standards is essential for ensuring children's safety.,Luật Giao thông Đường bộ – Điều 57 và Điều 63-11
Hành vi nguy hiểm,Trình độ nâng cao,Tiêu chuẩn về khuyết tật thính giác được quy định gần đúng như thế nào?,Có thể nghe được âm thanh 60 dB ở khoảng cách 5 m.,Ở khoảng cách 10 m phải nghe được tiếng còi 90 dB.,Ở khoảng cách 20 m phải nghe được âm thanh 40 dB.,Không có quy định cụ thể về khoảng cách hay độ lớn âm thanh.,2,"Theo Điều 9-7-2, tiêu chuẩn về thính lực được quy định là phải nghe được tiếng còi có cường độ 90 dB ở khoảng cách 10 mét.",Quy tắc thi hành Luật Giao thông Đường bộ – Điều 9-7-2
Quy tắc cơ bản,Trình độ nâng cao,"Tại giao lộ có đèn tín hiệu dành riêng cho người đi bộ và xe đạp cùng với làn đường băng qua dành cho xe đạp, xe đạp phải tuân theo tín hiệu nào khi băng qua?",Đèn tín hiệu dành riêng cho người đi bộ và xe đạp.,Chỉ tuân theo đèn tín hiệu dành cho xe.,Không có quy định cụ thể.,Chỉ tuân theo đèn tín hiệu dành cho người đi bộ.,1,"Theo Điều 7 của Luật Giao thông Đường bộ và Điều 2 của Nghị định thi hành, người tham gia giao thông phải tuân theo tín hiệu đèn giao thông.",Luật Giao thông Đường bộ – Điều 7 và Điều 2 của Quy tắc thi hành Luật Giao thông Đường bộ
Quy tắc cơ bản,Trình độ nâng cao,"Khi xe đạp đi trên vỉa hè, vị trí lưu thông nào là phù hợp nhất theo Luật Giao thông đường bộ?",Đi sát mép phía bên của công trình.,Đi ở giữa vỉa hè.,Đi ở phần gần lòng đường của vỉa hè.,Không có quy định đặc biệt.,3,"Khi đi xe đạp trên vỉa hè, về nguyên tắc phải đi ở phần gần lòng đường để bảo đảm an toàn cho người đi bộ.",Luật Giao thông Đường bộ – Điều 63-4
Cấm lưu thông,Trình độ nâng cao,Nếu đi vào đoạn đường có biển cấm xe đạp lưu thông thì sẽ bị xử lý như thế nào?,Xe đạp không thuộc đối tượng áp dụng.,Có thể bị xử lý về lỗi đi vào đường cấm.,Tự đánh giá của bản thân được ưu tiên hơn biển báo.,Chỉ cần đi trên vỉa hè thì được phép đi vào không điều kiện.,2,"Nếu đi xe đạp vào đoạn đường cấm xe đạp, có thể bị xử phạt về lỗi đi vào đường cấm.",Cổng thông tin xe đạp của NPA – Thông tin về xử lý vi phạm: Vi phạm quy định cấm lưu thông
Quy tắc cơ bản,Trình độ sơ cấp,"Gần vạch qua đường, nghĩa vụ của người đi xe đạp theo tinh thần Điều 38 là gì?",Dù có người đi bộ cũng chỉ cần giảm tốc độ.,Được ưu tiên hơn người đi bộ.,Xe đạp không có nghĩa vụ đặc biệt tại vạch qua đường dành cho người đi bộ.,Nếu có người đi bộ muốn sang đường thì phải dừng hoặc thực hiện biện pháp cần thiết để không cản trở họ.,4,"Điều 38 quy định người đi bộ được ưu tiên tại vạch qua đường, vì vậy người đi xe đạp không được cản trở người đi bộ.",Luật Giao thông Đường bộ – Điều 38
Hình phạt và trách nhiệm,Trình độ nâng cao,Phát biểu nào đúng nhất về chế độ khóa học dành cho người điều khiển xe đạp vi phạm?,Nếu nhiều lần thực hiện các hành vi nguy hiểm theo quy định thì có thể bị yêu cầu tham gia khóa học dành cho người điều khiển xe đạp.,"Xe đạp không có chế độ học bắt buộc, dù vi phạm nhiều lần cũng không phải tham gia khóa học.","Khóa học chỉ mang tính tự nguyện, không liên quan đến vi phạm.",Nếu không tham gia khóa học thì giấy phép xe đạp sẽ tự động bị hủy.,1,"Theo Điều 108-3-4 của Luật Giao thông Đường bộ, nếu nhiều lần thực hiện các hành vi nguy hiểm được chỉ định thì có thể bị yêu cầu tham gia khóa học an toàn dành cho người đi xe đạp.",Luật Giao thông Đường bộ – Điều 108-3-4
Sử dụng tai nghe,Trình độ nâng cao,Việc sử dụng tai nghe truyền âm qua xương hoặc tai nghe mở (open-ear) được xử lý như thế nào là phù hợp nhất?,Tai nghe truyền âm qua xương hoặc tai nghe mở luôn bị coi là vi phạm.,Tai nghe truyền âm qua xương luôn hợp pháp.,Tai nghe kiểu mở (open-ear) luôn hợp pháp.,"Việc đánh giá phụ thuộc vào hiệu năng của tai nghe, âm lượng và khả năng nghe âm thanh xung quanh.",4,"Theo hướng dẫn của Cơ quan Cảnh sát Quốc gia, tai nghe dẫn truyền qua xương hoặc tai nghe mở không bị đánh giá chỉ dựa vào hình thức; việc vi phạm hay không còn phụ thuộc vào hiệu năng, âm lượng và khả năng nghe âm thanh xung quanh, nên vẫn là trường hợp cần xem xét cụ thể.",Cổng thông tin xe đạp của NPA – Thông báo của Cơ quan Cảnh sát Quốc gia: Cách xử lý tai nghe dẫn truyền qua xương và tai nghe mở (open-ear)
Đèn chiếu sáng,Trình độ sơ cấp,Phát biểu nào đúng về việc đi xe đạp vào ban đêm?,Ban đêm phải bật đèn.,Có đèn đường thì không cần bật đèn xe.,Có tấm phản quang thì không cần bật đèn.,Đi trên vỉa hè thì không cần bật đèn.,1,"Ban đêm, xe đạp bắt buộc phải bật đèn, bất kể có đèn đường hay đang đi trên vỉa hè.",Cổng thông tin xe đạp của Sở Cảnh sát Tokyo – Quy tắc giao thông xe đạp: Ban đêm phải bật đèn
 Đi ngược chiều,Trình độ sơ cấp,Hành vi đi ngược chiều bằng xe đạp gần nhất với loại vi phạm nào?,Vi phạm quy định về phần đường.,Đi vào đường sắt khi rào chắn đang đóng.,Vượt đèn đỏ.,Đi xe không bật đèn.,1,Đi xe đạp ngược chiều trên phần đường dành cho xe là hành vi có thể bị xử phạt vì vi phạm quy định về làn đường.,"Cổng thông tin xe đạp – Về xử lý vi phạm: Vi phạm phần đường lưu thông (đi ngược chiều, đi trên vỉa hè... trong trường hợp nguy hiểm hoặc nghiêm trọng có thể bị xử phạt bằng vé phạt xanh)"
Xe gắn máy có bàn đạp,Trình độ nâng cao,"Phát biểu nào đúng về các sản phẩm được gọi là ""xe đạp trợ lực điện"" nhưng không đáp ứng tiêu chuẩn pháp luật?","Có thể bị coi là xe gắn máy thông thường, khi đó sẽ cần bằng lái, mũ bảo hiểm, biển số, v.v.",Luôn được phép đi trên vỉa hè.,Người dưới 13 tuổi được tự do điều khiển.,"Được đối xử giống xe đạp, không cần bằng lái hay biển số.",1,"Theo tài liệu của Cơ quan Cảnh sát Quốc gia, các phương tiện không đáp ứng tiêu chuẩn có thể bị xếp vào loại xe gắn máy, khi đó sẽ cần giấy phép lái xe, mũ bảo hiểm, biển số và các yêu cầu pháp lý khác.",Cổng thông tin xe đạp của NPA – Tài liệu công bố: Sự khác biệt với xe đạp trợ lực điện
Sử dụng điện thoại khi đang lái xe,Trình độ sơ cấp,Mức tiền phạt đối với hành vi sử dụng điện thoại cầm tay khi đi xe đạp (cầm giữ điện thoại) là bao nhiêu?,12.000 yên.,5.000 yên.,6.000 yên.,15.000 yên.,1,"Theo danh mục tiền phạt của Sở Cảnh sát Tokyo, hành vi cầm hoặc sử dụng điện thoại khi đang đi xe đạp bị phạt 12.000 yên.",Cổng thông tin xe đạp của Sở Cảnh sát Tokyo – Danh mục vi phạm: Sử dụng điện thoại di động khi điều khiển phương tiện (cầm trên tay)
Đi song song,Trình độ sơ cấp,Quy định đúng về việc đi xe đạp song song là gì?,Luôn luôn được phép.,Về nguyên tắc bị cấm đi song song; chỉ được phép trong các trường hợp ngoại lệ như có biển báo cho phép.,Luôn được phép nếu đi trên vỉa hè.,Nếu đều là trẻ em thì luôn được phép chở hai người.,2,"Đi xe đạp song song nhìn chung bị cấm. Chỉ được phép khi có biển báo ""Cho phép đi song song"".",Cổng thông tin xe đạp của Sở Cảnh sát Tokyo – Quy tắc giao thông xe đạp: Cấm đi song song
Hình phạt và trách nhiệm,Trình độ nâng cao,Xu hướng gần đây về bảo hiểm trách nhiệm bồi thường thiệt hại do xe đạp gây ra là gì?,Ngày càng có nhiều địa phương khuyến khích tham gia bảo hiểm và quy định là nghĩa vụ hoặc nghĩa vụ cố gắng thực hiện.,Chỉ học sinh trung học phổ thông trở lên mới được tham gia bảo hiểm.,Ngày càng có nhiều địa phương ban hành quy định cấm tham gia bảo hiểm.,Không tồn tại bảo hiểm xe đạp.,1,"Do số vụ bồi thường thiệt hại lớn ngày càng tăng, nhiều địa phương đã quy định việc tham gia bảo hiểm xe đạp là nghĩa vụ hoặc nghĩa vụ khuyến khích.",Quy tắc thi hành Luật Giao thông Đường bộ – Quy định của các địa phương và Luật Thúc đẩy sử dụng xe đạp
Hệ thống vé phạt xanh,Trình độ nâng cao,Trường hợp nào có nhiều khả năng bị xử lý theo thủ tục hình sự thay vì bị lập biên bản phạt (vé xanh)?,Các vi phạm nghiêm trọng như lái xe khi có nồng độ cồn hoặc say rượu.,Lỗi không bật đèn mức độ nhẹ.,Điều chỉnh độ cao yên xe không đúng.,Không sử dụng chuông.,1,"Theo quy định, các hành vi nghiêm trọng như lái xe khi có rượu bia hoặc gây tai nạn thường sẽ bị xử lý bằng biên bản đỏ (red ticket) và chuyển sang thủ tục hình sự.",Cổng thông tin xe đạp của NPA – Cổng thông tin Chính phủ: Phân biệt vé phạt xanh và vé phạt đỏ
Quy tắc cơ bản,Trình độ sơ cấp,"Theo Luật Giao thông Đường bộ, quan điểm đúng về bảo dưỡng và kiểm tra xe đạp là gì?",Nếu điều khiển xe có phanh hoặc đèn không đạt tiêu chuẩn thì có thể bị xử lý vì vi phạm nghĩa vụ lái xe an toàn.,Chỉ cần kiểm tra đèn là đủ.,"Chỉ xe đạp phục vụ kinh doanh mới bắt buộc phải kiểm tra, bảo dưỡng.",Dù phanh hoặc đèn bị hỏng thì vẫn được phép sử dụng xe đạp.,1,"Để lái xe an toàn, hệ thống phanh và đèn phải luôn hoạt động tốt. Thiếu bảo dưỡng có thể ảnh hưởng đến trách nhiệm pháp lý khi xảy ra tai nạn.",Luật Giao thông Đường bộ – Điều 63-9 và Điều 70
Khóa học bắt buộc dành cho người điều khiển xe đạp,Trình độ sơ cấp,Điều kiện để bị yêu cầu tham gia khóa học dành cho người điều khiển xe đạp theo quy định hiện hành là gì?,Chỉ áp dụng đối với người có giấy phép lái xe.,"Chỉ cần bị phạt ""vé xanh"" một lần thì chắc chắn sẽ bị ra lệnh tham gia khóa học.",Chỉ cần vi phạm 1 lần là chắc chắn bị ra lệnh tham gia khóa học.,Nếu trong 3 năm bị xử lý từ 2 lần trở lên vì hành vi nguy hiểm thì có thể bị yêu cầu tham gia khóa học dành cho người đi xe đạp.,4,"Theo tài liệu hướng dẫn, nếu trong vòng 3 năm bị xử lý từ 2 lần trở lên vì các hành vi nguy hiểm, người đi xe đạp có thể bị yêu cầu tham gia khóa học an toàn.",Cổng thông tin xe đạp của Sở Cảnh sát Tokyo – Chế độ đào tạo người điều khiển xe đạp: Điều kiện ban hành lệnh tham gia khóa học
Hệ thống vé phạt xanh,Trình độ sơ cấp,Chế độ nào đã được áp dụng cho xe đạp từ ngày 1 tháng 4 năm 2026?,Chế độ giấy phép lái xe đạp.,Chế độ kiểm định xe đạp.,Chế độ thuế xe đạp.,Chế độ thông báo nộp tiền phạt (thẻ xanh).,4,"Từ ngày 1 tháng 4 năm 2026, Nhật Bản đã áp dụng hệ thống vé phạt xanh (Blue Ticket System) đối với một số vi phạm giao thông của xe đạp.",Cổng thông tin xe đạp của Sở Cảnh sát Tokyo – Hệ thống thông báo xử phạt vi phạm giao thông (vé phạt xanh)
Hành vi nguy hiểm,Trình độ sơ cấp,"Theo Điều 33 Luật Giao thông Đường bộ, người đi xe đạp phải thực hiện nghĩa vụ gì khi đi qua đường sắt giao cắt (đường ngang)?",Dù cần chắn đường sắt bắt đầu hạ thì vẫn có thể nhanh chóng đi qua.,"Phải dừng trước đường sắt, xác nhận an toàn rồi mới được đi tiếp.","Chỉ cần đi chậm tại đường sắt, không cần dừng hẳn.","Vì xe đạp là xe hạng nhẹ, nên không có nghĩa vụ dừng ở đường sắt giao cắt.",2,"Theo Điều 33 của Luật Giao thông Đường bộ, khi đến đường sắt giao cắt, phương tiện phải dừng hẳn, xác nhận an toàn rồi mới được đi tiếp.",5 quy tắc sử dụng xe đạp an toàn (Sở Cảnh sát Tokyo) – Điều 33 của Luật Giao thông Đường bộ
"Rẽ phải, rẽ trái",Trình độ sơ cấp,Cách rẽ phải/rẽ trái (rẽ phải ở đây là rẽ theo luật Nhật: rẽ phải hai giai đoạn) đúng theo nguyên tắc đối với xe đạp là gì?,Rẽ phải kiểu ô tô (rẽ gấp).,Cấm rẽ phải.,Rẽ phải bằng cách đi trên vỉa hè.,Rẽ phải hai giai đoạn (二段階右折).,4,"Khi rẽ phải, xe đạp về nguyên tắc phải rẽ phải hai giai đoạn, tuân theo đèn tín hiệu dành cho xe và đi dọc theo mép ngoài của giao lộ.",Cổng thông tin xe đạp của Sở Cảnh sát Tokyo – Quy tắc giao thông xe đạp: Cách rẽ phải
Quy tắc cơ bản,Trình độ sơ cấp,"Theo Điều 63-11 Luật Giao thông Đường bộ, quy định đúng về việc đội mũ bảo hiểm cho trẻ em và trẻ nhỏ đi xe đạp là gì?",Quy định đội mũ bảo hiểm chỉ áp dụng cho người trưởng thành.,Pháp luật hoàn toàn không đề cập đến việc đội mũ bảo hiểm.,Trẻ em và trẻ nhỏ có nghĩa vụ phải đội mũ bảo hiểm.,Người có trách nhiệm bảo vệ trẻ em hoặc trẻ nhỏ phải cố gắng cho các em đội mũ bảo hiểm.,4,"Theo Điều 63-11, người có trách nhiệm chăm sóc trẻ em phải cố gắng bảo đảm trẻ đội mũ bảo hiểm khi đi xe đạp (đây là nghĩa vụ khuyến khích, không phải bắt buộc tuyệt đối).",5 quy tắc sử dụng xe đạp an toàn (Sở Cảnh sát Tokyo) – Điều 63-11 của Luật Giao thông Đường bộ
Quy tắc cơ bản,Trình độ sơ cấp,Trường hợp nào xe đạp thông thường được phép đi trên vỉa hè?,Khi lòng đường đông và khó đi thì có thể đi lên vỉa hè bất cứ lúc nào.,Trời mưa hoặc gió mạnh thì luôn được phép đi trên vỉa hè.,Nếu ít người đi bộ thì có thể tự do đi xe trên vỉa hè.,"Chỉ được đi trên vỉa hè khi được biển báo cho phép hoặc thuộc các trường hợp luật quy định như trẻ em, người mà việc đi dưới lòng đường bị coi là nguy hiểm.",4,"Điều 63-4 quy định xe đạp chỉ được đi trên vỉa hè trong những trường hợp hạn chế, chẳng hạn khi có biển báo cho phép hoặc vì lý do bảo đảm an toàn cho trẻ em và các đối tượng được quy định.",Luật Giao thông Đường bộ – Điều 63-4
Đi trên vỉa hè,Trình độ sơ cấp,Nguyên tắc cơ bản về vị trí lưu thông của xe đạp trên đường là gì?,"Nguyên tắc là đi trên lòng đường, đi trên vỉa hè chỉ là ngoại lệ.","Đi trên vỉa hè là nguyên tắc, đi dưới lòng đường là ngoại lệ.",Có thể tự do chọn đi vỉa hè hoặc lòng đường.,Chỉ được đi trên đường dành cho xe đạp.,1,"Xe đạp được pháp luật xếp vào loại xe hạng nhẹ, vì vậy nguyên tắc là phải đi trên lòng đường; chỉ trong những trường hợp ngoại lệ như có biển báo cho phép mới được đi trên vỉa hè.","Cổng thông tin xe đạp của Sở Cảnh sát Tokyo – Quy tắc giao thông xe đạp: Xe đạp phải đi trên lòng đường, vỉa hè chỉ là ngoại lệ"
Đường ngang đường sắt,Trình độ sơ cấp,Mức tiền phạt đối với hành vi đi vào đường ngang khi cần chắn đang hạ hoặc đã hạ là bao nhiêu?,9.000 yên.,7.000 yên.,5.000 yên.,6.000 yên.,2,"Theo danh mục tiền phạt của Sở Cảnh sát Tokyo, hành vi đi vào đường sắt khi thanh chắn đang hạ xuống bị phạt 7.000 yên đối với xe đạp.",Cổng thông tin xe đạp của Sở Cảnh sát Tokyo – Danh mục vi phạm: Đi vào đường sắt khi chắn tàu đã hạ
Quy tắc cơ bản,Trình độ sơ cấp,Điều kiện nào để được coi là xe đạp thông thường theo Luật Giao thông Đường bộ?,Xe gắn máy chỉ chạy bằng động cơ điện.,"Bất kể kích thước xe thế nào, chỉ cần có bàn đạp thì đều là xe đạp thông thường.",Mọi xe đạp từ 3 bánh trở lên đều là xe đạp thông thường.,"Xe đạp có kích thước và cấu tạo phù hợp tiêu chuẩn của Nội các, không kéo theo phương tiện khác.",4,Xe đạp thông thường được định nghĩa là xe đạp có kích thước và cấu tạo đáp ứng tiêu chuẩn pháp luật và không kéo theo phương tiện khác.,Luật Giao thông Đường bộ – Điều 2
Quy tắc cơ bản,Trình độ sơ cấp,"Theo Điều 43 Luật Giao thông Đường bộ, người đi xe đạp phải làm gì tại giao lộ có biển ""Dừng lại""?",Chỉ cần đi chậm thì không cần dừng hẳn.,"Nếu đi trên vỉa hè thì không cần dừng ở biển ""Dừng lại"".",Nếu không có xe khác thì có thể đi qua mà không cần dừng.,"Phải dừng trước vạch dừng hoặc ngay trước giao lộ, xác nhận an toàn rồi mới đi tiếp.",4,"Theo Điều 43 của Luật Giao thông Đường bộ, tại nơi có biển báo ""Dừng lại (STOP)"", người điều khiển phải dừng hẳn trước vạch dừng và không được cản trở các phương tiện đang lưu thông trên đường giao nhau.",5 quy tắc sử dụng xe đạp an toàn (Sở Cảnh sát Tokyo) – Điều 43 của Luật Giao thông Đường bộ
Hành vi nguy hiểm,Trình độ sơ cấp,"Khi xe đạp thông thường đi trên vỉa hè, phải đi như thế nào?",Đi gần giữa vỉa hè với tốc độ hơi nhanh.,"Khi đi trên vỉa hè, phải đi chậm ở phần gần lòng đường của vỉa hè (hoặc phần dành riêng cho xe đạp nếu có); nếu cản trở người đi bộ thì phải dừng lại.",Có thể đi ở bất kỳ phần nào của vỉa hè miễn là đi chậm.,Bấm chuông để người đi bộ tránh đường rồi tiếp tục đi.,2,"Theo Điều 63-4, khi đi xe đạp trên vỉa hè, phải đi chậm ở phần gần lòng đường tính từ giữa vỉa hè; nếu cản trở người đi bộ thì phải dừng lại.",Luật Giao thông Đường bộ – Điều 63-4
Quy tắc cơ bản,Trình độ sơ cấp,"Khi đi qua ngã tư, người đi xe đạp phải tuân thủ tín hiệu giao thông như thế nào?",Xe đạp không có nghĩa vụ tuân theo tín hiệu đèn giao thông.,Nếu lưu lượng giao thông ít thì xe đạp có thể đi qua đèn đỏ.,Xe đạp là phương tiện giao thông nên phải tuân theo đèn tín hiệu dành cho xe; nếu có đèn dành riêng cho người đi bộ và xe đạp thì phải tuân theo đèn đó.,"Vì xe đạp được coi là người đi bộ, nên luôn tuân theo đèn tín hiệu dành cho người đi bộ.",3,"Xe đạp là một loại phương tiện giao thông, vì vậy phải tuân theo tín hiệu đèn giao thông. Nếu có đèn tín hiệu dành riêng cho người đi bộ và xe đạp, phải tuân theo tín hiệu đó.",5 quy tắc sử dụng xe đạp an toàn (Sở Cảnh sát Tokyo) – Điều 7 của Luật Giao thông Đường bộ
Quy tắc cơ bản,Trình độ sơ cấp,"Theo Điều 9-4 của Quy định thi hành, màu phản quang của thiết bị phản quang trên xe đạp phải là màu nào?",Màu nào cũng được.,Chỉ được dùng màu đỏ.,Màu cam hoặc màu đỏ.,Màu trắng hoặc vàng nhạt.,3,"Theo quy định của pháp luật, ánh sáng phản xạ của thiết bị phản quang phải có màu cam hoặc màu đỏ.",Quy tắc thi hành Luật Giao thông Đường bộ – Điều 9-4
Đèn giao thông,Trình độ sơ cấp,Mức tiền phạt đối với hành vi vượt đèn đỏ bằng xe đạp là bao nhiêu?,5.000 yên.,7.000 yên.,12.000 yên.,6.000 yên.,4,"Theo danh mục các hành vi vi phạm, vượt đèn đỏ bằng xe đạp bị phạt 6.000 yên; vượt đèn vàng nhấp nháy hoặc đèn nhấp nháy trái quy định bị phạt 5.000 yên.",Cổng thông tin xe đạp của Sở Cảnh sát Tokyo – Danh mục vi phạm: Vượt đèn đỏ
Quy tắc cơ bản,Trình độ sơ cấp,"Theo Điều 18 Luật Giao thông Đường bộ, vị trí lưu thông đúng của xe đạp trên đường là gì?",Nếu có vỉa hè thì luôn phải đi trên vỉa hè.,Về nguyên tắc đi gần giữa lòng đường.,Về nguyên tắc phải đi sát mép trái của lòng đường.,Về nguyên tắc đi sát mép phải của đường.,3,Xe đạp và các phương tiện thuộc nhóm xe hạng nhẹ phải đi sát mép bên trái của phần đường theo nguyên tắc chung.,Luật Giao thông Đường bộ – Điều 18
