Categoría,Nivel de dificultad,Enunciado del problema,Opción 1,Opción 2,Opción 3,Opción 4,Número de respuesta correcto,Resumen,Normas de tráfico relacionadas
Sanciones y responsabilidades,上級,¿Cuál de las siguientes explicaciones es la más adecuada respecto a las tendencias recientes en el seguro de responsabilidad civil para bicicletas?,Cada vez más municipios están promoviendo la membresía y convirtiéndola en una obligación obligatoria o de esfuerzo.,La matrícula está limitada a estudiantes de secundaria y mayores.,Las ordenanzas que prohíben la membresía están aumentando.,No existe tal cosa como el seguro para bicicletas.,1,"Debido al aumento de casos de alta compensación, muchos gobiernos locales han hecho obligatorio o obligatorio el seguro de bicicletas mediante ordenanzas",Reglamentos de la Comisión de Seguridad Pública de la Prefectura / Ley de Tráfico Vial Artículo 70: Conducción paraguas
Sistema de Billetes Verdes,上級,¿Cuál de los siguientes es el ejemplo más adecuado de un aspecto de procedimiento penal que es más probable que se gestione en lugar de un ticket azul?,Cada vez más municipios están promoviendo la membresía y convirtiéndola en una obligación obligatoria o de esfuerzo.,Falta menor de luces,Problema de ajuste de altura del sillín,Campanas sin usar,1,"La explicación del sistema explica que cuando ocurre una infracción grave o un accidente, el conductor de la multa roja suele estar del lado de los procedimientos penales",Cinco normas para el uso seguro de bicicletas | Agencia Nacional de Policía
Reglas básicas,初級,¿Cuál de los siguientes métodos de mantenimiento e inspección se alinea con los principios de la Ley de Tráfico Vial?,Conducir con una máquina de juego o iluminación que no cumpla con los estándares puede violar el deber de conducir de forma segura,"Mientras mires las luces, no hay problema.",La inspección y el mantenimiento solo son necesarios para bicicletas comerciales.,"Aunque los frenos o luces necesarios no funcionen, aún puedes montar en bicicleta",1,"Mantener los frenos y las luces es esencial para una conducción segura, y un mantenimiento deficiente puede afectar la responsabilidad civil en caso de accidente.",Artículo 26-2 de la Ley de Tráfico Vial
Formación de conductores de bicicleta,初級,¿Cuáles de los siguientes requisitos están en línea con los conocidos requisitos para una orden de instrucción en bicicleta?,Solo los titulares de licencia son elegibles,Recibir un Ticket Azul una vez siempre activa un pedido,"Aunque incumplas una sola vez, siempre recibirás una orden.","Si te pillan por actos peligrosos dos o más veces en un plazo de tres años, podrías ser elegible.",4,"Según los materiales de divulgación, si te pillan más de dos veces en tres años por conducta peligrosa, podrías estar sujeto a una orden para asistir a la formación de conductores de bicicleta.",Ley de Tráfico Vial
Sistema de Billetes Verdes,初級,¿Cuál de los sistemas introducidos para bicicletas desde el 1 de abril de 2026 es correcto?,Sistema de Licencia de Bicicleta,Sistema de inspección de bicicletas,Sistema fiscal sobre bicicletas,Sistema de Notificación de Infracciones Legales (Ticket Verde),4,"Desde el 1 de abril de 2026, se ha introducido un sistema de notificación de infracciones de tráfico, conocido como 'Blue Ticket', para las bicicletas en determinadas infracciones de tráfico.",Artículo 20 de la Ley de Tráfico Vial
acto peligroso,初級,¿Cuál de las siguientes es la obligación correcta para que las bicicletas pasen por un paso a nivel según el Artículo 33 de la Ley de Tráfico Vial?,"Aunque la barrera de cruce empiece a cerrarse, puedes pasar rápidoｖ",Detente justo antes del cruce y continúa solo después de confirmar la seguridad,"En un paso a nivel, no tienes que parar si reduces la velocidad","Como las bicicletas son vehículos ligeros, no hay obligación de detenerse en el paso a nivel.",2,"Según el artículo 33 de la Ley de Tráfico Vial, los vehículos deben detenerse justo antes del paso imparable y continuar solo después de confirmar la seguridad.",Portal de Bicicletas de la Agencia Nacional de Policía
Gira a la derecha y a la izquierda,初級,¿Cuál es la forma más correcta de girar una bicicleta correctamente en principio?,"Giro brusco a la derecha, como un coche",No se permiten giros a la derecha,Gira a la derecha en la acera,Giro a la derecha en dos etapas,4,"En principio, una bicicleta gira a la derecha requiere dos etapas. Sigue las señales del vehículo y continúa por el borde exterior de la intersección.","Agencia Nacional de Policía: Normas de tráfico para bicicletas pequeñas motilizadas específicas, matrículas, etc."
Reglas básicas,初級,¿Cuál de los siguientes es correcto respecto al uso del casco para niños y niños pequeños en bicicleta según el Artículo 63-11 de la Ley de Tráfico?,Las normativas sobre el uso de casco solo se aplican a adultos,No está prohibido legalmente llevar casco,Niños y niños pequeños deben llevar casco.,Quienes son responsables de proteger a niños y niños pequeños deben esforzarse para que lleven casco de montar,4,El artículo 63-11 exige que quienes protegen a niños o bebés hagan esfuerzos por llevar casco de montar al montar en bicicleta (deber de esfuerzo),Ley de Tráfico Vial
Reglas básicas,初級,¿Cuáles son las condiciones más adecuadas para que una bicicleta normal circule por las aceras?,Siempre es bueno comprobar cuándo la carretera está congestionada y es difícil de notar.,"Siempre puedes circular por la acera en mal tiempo, como en días de lluvia o viento.","Si hay pocos peatones, puedes circular libremente por la acera.","Cuando se permite la señalización de tráfico, o cuando se considera peligroso que niños u otras personas circulen por la carretera, o cuando se cumplen las condiciones estipuladas por la ley.",4,"El artículo 63-4 estipula que el desplazamiento por acera puede permitirse bajo condiciones limitadas, como para permisos basados en señales de tráfico o para garantizar la seguridad de niños y otras personas.",Artículo 53 de la Ley de Tráfico Vial
Paso en la acera,初級,¿Cuáles de los siguientes son los principios básicos correctos respecto a la ubicación de los pasos en bicicleta?,"El tráfico en la carretera es la norma, el tráfico en las aceras es una excepción.",El acceso a las aceras es el principio; las carreteras son una excepción.,Puedes elegir libremente entre acera y entrada de vehículos,Solo se permiten carriles bici,1,"Las bicicletas son vehículos ligeros y, en principio, se utilizan en la carretera. El acceso a las aceras está limitado a excepciones, como cuando hay señales o señales similares.",Portal de Bicicletas de la Agencia Nacional de Policía
Cruce ferroviario,初級,¿Cuál de las siguientes es la penalización correcta para cruzar en bicicleta en un cruce con barrera?,9.000 yenes,7.000 yenes,5.000 yenes,6.000 yenes,2,"Según la lista de actos ilegales del Departamento de Policía Metropolitana, entrar en un vehículo ligero en una puerta de paso cuesta 7.000 yenes.",Manual de Reglas para Bicicletas: Normas para la Exposición al Alcohol
Reglas básicas,初級,"¿Cuál de las siguientes condiciones es la más adecuada para una ""bicicleta normal"" según la Ley de Tráfico Vial?",Bicicletas motorizadas impulsadas únicamente por motores eléctricos,"Independientemente del tamaño de la bicicleta, mientras tenga pedales, todas son bicicletas estándar.",Todas las bicicletas con tres ruedas o más son de rotación estándar,Bicicletas cuyo tamaño y estructura de carrocería cumplen con los estándares de las ordenanzas de la Oficina del Gabinete y no remolcan otros vehículos,4,Una bicicleta normal se define como aquella cuyo tamaño y estructura corporal cumplen con los estándares y que no remolcan otros vehículos.,Ley de Tráfico Vial
Reglas básicas,初級,"Según el Artículo 43 de la Ley de Tráfico Vial, ¿cuál de las siguientes opciones es el comportamiento correcto para las bicicletas en intersecciones con una señal de 'Stop'?","Si conduces despacio, no tienes que parar","Si viajas por la acera, no hace falta parar","Si no hay otros vehículos, puedes adelantar sin detenerte.","Detente brevemente antes de la línea de parada o justo antes de la intersección, confirma la seguridad antes de continuar.",4,"El artículo 43 de la Ley de Tráfico Vial estipula que en lugares con señales de 'Stop', los vehículos deben detenerse brevemente justo antes de la línea de stop y no obstaculizar el paso de los vehículos que pasan en las intersecciones.",Artículos 57 y 63-11 de la Ley de Tráfico Vial
acto peligroso,初級,¿Cuál es la forma correcta de que las bicicletas normales circulen por las aceras?,Conduciendo un poco más rápido cerca del centro de la acera,"Desde el centro de la acera hasta la calzada (si hay un tramo designado para bicicletas normales), reduce la velocidad y detente temporalmente si obstruye el paso peatonal","Las bicicletas obedecen las señales de vehículo como vehículos, y si hay señales solo para peatones o bicicletas, deben seguir esas señales",Haz sonar una campana para mantener alejados a los peatones al pasar,2,"Según el Artículo 63-4, al cruzar aceras, los conductores deben reducir la velocidad desde el centro de la acera hacia la calzada y detenerse temporalmente si obstruyen a los peatones.",Reglamentos de Aplicación de la Ley de Tráfico Vial
Reglas básicas,初級,¿Cuál de las siguientes es correcta respecto a la obediencia a los semáforos al pasar por cruces en bicicleta?,Las bicicletas no están obligadas a obedecer las señales de los semáforos.,Las bicicletas pueden circular incluso en semáforos en rojo cuando el tráfico es escaso.,"Las bicicletas obedecen las señales de vehículo como vehículos, y si hay señales solo para peatones o bicicletas, deben seguir esas señales","Las bicicletas se tratan como peatones, por lo que todos obedecen las señales peatonales.",3,"Las bicicletas están obligadas a obedecer los semáforos como vehículos, y si hay semáforos dedicados a peatones o bicicletas, deben seguir esos semáforos.",Cinco normas para el uso seguro de bicicletas | Departamento de Policía Metropolitana de Tokio
Reglas básicas,初級,¿Qué combinación de la luz reflejada de materiales reflectantes proporcionados a las bicicletas es correcta según la definición del Artículo 9-4 del Reglamento de Aplicación?,Las bicicletas no están obligadas a obedecer las señales de los semáforos.,Solo rojo,Naranja o rojo,Blanco o amarillo pálido,3,"Según la disposición, el color de la luz reflejada por equipos reflectantes debe ser ""naranja o rojo"".",Artículo 7 de la Ley de Tráfico Vial
señal,初級,¿Cuál de las siguientes es la penalización correcta por saltarse un semáforo en rojo en bicicleta?,5.000 yenes,7.000 yenes,12.000 yenes,6.000 yenes,4,"Según la lista de actos ilegales, poner una señal de bicicleta cuesta 6.000 yenes. Ignorar las señales intermitentes se organiza en 5.000 yenes.",Reglamentos de Aplicación de la Ley de Tráfico Vial
Reglas básicas,初級,¿Cuál de los siguientes es el estándar correcto para el tráfico ciclista según el Artículo 18 de la Ley de Tráfico Vial?,"Si hay acera, siempre puedes usarla.","Por lo general, viaja cerca del centro de la carretera","Por lo general, conduce por el borde izquierdo de la carretera","En principio, conduce por el borde derecho de la carretera",3,"Los vehículos ligeros, incluidas las bicicletas, suelen estar obligados a circular por el lado izquierdo de la carretera",Reglamento de Aplicación de la Ley de Tráfico Vial Artículo 9-4
acto peligroso,初級,¿Cuál de las siguientes está claramente establecida en el Artículo 42 de la Ley de Tráfico Vial como un lugar donde las bicicletas deben circular despacio? (Extracto),Una carretera recta con dos carriles en cada dirección (buena visibilidad),Todos los tramos de carretera con carriles bici,Todas las calles en zonas residenciales,"Intersecciones con mala visibilidad a ambos lados (sin espacio para intersecciones, lado no prioritario)",4,"Según el artículo 42, punto 1, en intersecciones donde la visibilidad es imposible y donde no se ha implementado el control de tráfico, existe la obligación de reducir la velocidad.",Portal de Bicicletas del Departamento de Policía Metropolitana
acto peligroso,初級,¿Cuál de las siguientes es la obligación correcta respecto a la iluminación y los equipos reflectantes al montar en bicicleta de noche?,"Si llevas una fajilla reflectante, no necesitas una luz de bicicleta.","Por la noche, solo deben estar encendidas las bicicletas equipadas con faros y reflectores traseros o pilotos traseros",No existen normativas sobre luces para bicicletas por la noche.,"Incluso de noche, si hay una farola, no es necesario encender la luz.",2,"Según los artículos 52 y 63-9 de la Ley de Tráfico Vial, por la noche solo están prohibidas las bicicletas con los faros encendidos y equipadas con dispositivos reflectantes o luces traseras.",Lista de infracciones del Departamento de Policía Metropolitana por saltarse semáforos
pausa,初級,¿Cuál de las siguientes es la obligación correcta para los ciclistas en intersecciones con señales de stop?,"Si no vienen coches, no hace falta parar.","Si caminas por la acera, no es un problema.",Siempre para y comprueba la seguridad,Con conducir despacio por sí solo es suficiente.,3,"En lugares con señales de stop, las bicicletas también deben parar temporalmente para comprobar su seguridad.",Portal de Bicicletas del Departamento de Policía Metropolitana Normas de Tráfico Ciclista del Departamento de Policía Metropolitana Parada Temporal
Paso lateral,初級,¿Cuál de las siguientes afirmaciones sobre la Ley de Paso Lateral vigente en abril de 2026 es correcta?,Solo se aplica a aceras,Siempre debes mantenerte al menos a 2 metros de distancia,"Cuando no hay suficiente espacio, el robo de coches debe proceder a una velocidad segura y el robo de bicicletas debe abordarse lo más a la izquierda posible.",Solo las bicicletas tienen obligaciones.,3,"Según la norma de adelantamiento lateral vigente en abril de 2026, cuando no haya suficiente espacio, los vehículos y vehículos similares deben circular a una velocidad segura, y las bicicletas y vehículos similares deben mantenerse lo más cerca posible del borde izquierdo.","Portal de Bicicletas del Departamento de Policía Metropolitana Artículo 18, párrafos 3 y 4 de la Ley de Tráfico Vial"
Iluminación y luz,初級,¿Cuál de las siguientes es la penalización correcta para una bicicleta sin iluminación permitida?,7.000 yenes,6.000 yenes,5.000 yenes,12.000 yenes,3,"Según la lista de actividades ilegales del Departamento de Policía Metropolitana, la tarifa todoterreno para vehículos ligeros es de 5.000 yenes.",Portal de Bicicletas del Departamento de Policía Metropolitana Lista de Actos Ilegales del Departamento de Policía Metropolitana Sin luces
Paso en la acera,初級,¿Cuál es la forma correcta de usar bicicletas cuando se permite el tráfico en las aceras?,Las bicicletas tienen prioridad sobre los peatones.,Tocar el timbre puede hacer que los peatones eviten,Muévete lo más rápido posible por el centro de la acera,Procede despacio con prioridad peatonal y detente cuando estorbes,4,"Los peatones tienen prioridad al usar aceras. Si no hay un área designada para el paso de bicicletas, continúa despacio hacia la carretera y detente temporalmente si esta obstruye el paso peatonal.",Portal de Bicicletas del Departamento de Policía Metropolitana Normas de tráfico ciclista del Departamento de Policía Metropolitana - Cómo usar aceras
Reglas básicas,初級,¿Cuál de las siguientes está más cerca de las posiciones de paso ilegal de bicicletas según los artículos 17 y 18 de la Ley de Tráfico Vial?,Conducir por el borde izquierdo de la carretera,Conduciendo por el borde derecho de la carretera,Utiliza las aceras como norma general y solo usa la calzada cuando sea peligrosa.,Moverse libremente entre aceras y calles según la situación,1,"Los vehículos ligeros, incluidas las bicicletas, suelen estar obligados a circular por el lado izquierdo de la carretera.",Cinco normas para el uso seguro de bicicletas | Departamento de Policía Metropolitana de Tokio Artículos 17 y 18 de la Ley de Tráfico Vial
